bbl,st_2007,st_2008,st_2009,st_2010,st_2011,st_2012,st_2013,st_2014,st_2015,st_2016,st_2017,st_2018,st_2019,st_2020,st_2021
1000077501,17.0,17.0,16.0,13.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,6.0,5.0,5.0
1000087501,1.0,1.0,1.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,,,,,
1000150022,5.0,5.0,5.0,2.0,2.0,1.0,7.0,5.0,1.0,1.0,,,,,
1000157501,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
1000160015,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0
1000160020,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,188.0,166.0,209.0
1000160180,293.0,293.0,292.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0
1000160185,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,251.0,253.0,253.0,253.0,253.0,253.0,253.0
1000160195,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,,,,,
1000160200,396.0,396.0,396.0,396.0,395.0,396.0,396.0,396.0,396.0,396.0,,,,,
1000160210,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,158.0
1000160235,,,,,29.0,29.0,29.0,29.0,29.0,29.0,,,,,
1000167519,,,,,,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0
1000170029,97.0,60.0,38.0,15.0,11.0,8.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,
1000187501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
1000190018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1000250019,,,,,130.0,1.0,1.0,1.0,1.0,1.0,,,,,
1000260014,363.0,363.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0
1000260021,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
1000270009,14.0,14.0,14.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
1000270027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
1000277502,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,546.0,546.0
1000297501,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1000330011,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,503.0,503.0
1000397501,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1000420001,4.0,341.0,339.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0
1000420022,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0
1000520021,18.0,18.0,18.0,18.0,18.0,18.0,15.0,16.0,16.0,16.0,15.0,14.0,14.0,14.0,14.0
1000527501,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,
1000530006,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
1000530036,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0
1000550014,17.0,17.0,16.0,14.0,14.0,12.0,12.0,11.0,9.0,7.0,6.0,4.0,4.0,3.0,3.0
1000560004,94.0,61.0,39.0,24.0,14.0,12.0,10.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1000650006,,,,,30.0,30.0,30.0,30.0,30.0,30.0,,,,,
1000650020,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1000687501,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
1000690006,188.0,188.0,188.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0
1000690018,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0
1000697502,21.0,18.0,17.0,13.0,7.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,
1000710001,36.0,36.0,34.0,31.0,27.0,26.0,23.0,23.0,22.0,22.0,22.0,22.0,22.0,21.0,21.0
1000720027,18.0,18.0,17.0,17.0,15.0,15.0,14.0,14.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0
1000750001,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,
1000760001,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1000760011,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,
1000760024,,,,,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
1000760028,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,
1000767501,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,,,,,
1000767502,8.0,8.0,8.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1000770001,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1000780019,28.0,28.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,,,,,
1000781902,,,,,28.0,28.0,28.0,28.0,28.0,28.0,,,,,
1000787505,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
1000787509,,,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1000787510,,,,,,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
1000880014,395.0,395.0,396.0,396.0,396.0,395.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0
1000890001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1000900017,,,,,,,,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0
1000900024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,
1000907501,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
1000910009,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
1000920003,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0
